Titre;Auteur;Infos biblios;Créateur / Éditeur;Sujet;Collection;Édition;Langue;ISBN;ISBN (13);ISSN
Athènes  : une démocratie : de sa naissance à sa mort ;Cohen , Robert ;Athènes [Texte imprimé] : une démocratie : de sa naissance à sa mort / Robert Cohen;"Cohen , Robert (Paris : A. Fayard, impr. 1937, cop. 1936 ;  Mesnil :  impr. Firmin Didot)";Démocratie   Grèce   Athènes (Grèce) -- Politique et gouvernement  et autres;Les Grandes études historiques;;Français;;;
LSD 25 ;Cohen , Sidney ;"LSD 25 / Dr Sidney Cohen ; préface-enquête de Jean-Francis Held ; trad. de l'anglais par Marie-Claire Pasquier et Dominique Raoul-Duval";Cohen , Sidney ([Paris] : Gallimard, 1966);;Témoins .- Collection . Témoins;;Français;;;
Mémoires d'un traducteur ;Coindreau , Maurice-Edgar ;Mémoires d'un traducteur / Maurice-Edgar Coindreau, entretiens avec Christian Giudicelli;Coindreau , Maurice-Edgar ([Paris] : Gallimard, DL 1974);Littérature américaine ;;;Français;;;
Le lièvre et l'araignée dans les contes de l'Ouest africain ;Colardelle-Diarrassouba , Marcelle ;"Le lièvre et l'araignée dans les contes de l'Ouest africain / par Marcelle Colardelle-Diarrassouba ; préface de Bernard Dadié";"Colardelle-Diarrassouba , Marcelle (Paris : Union Générale d'Editions, DL 1975 ; 59-Loos : Imprimerie L. P.-F. L. Danel)";Contes africains   Tradition orale   Afrique occidentale  et autres;"10-18 ; 980";;Français;;;
Sur Shakespeare  : essais ;Coleridge , Samuel Taylor ;"Sur Shakespeare [Texte imprimé] : essais / Coleridge ; traduits de l'anglais par Robert Pépin ; préface de Jean-Louis Curtis";"Coleridge , Samuel Taylor (Lausanne ; [Paris] : Éd. Rencontre, cop. 1970)";;"Bibliothèque Rencontre des lettres anciennes et modernes ; 4";;Français;;;
Les jeux sauvages  : roman ;Colin , Paul ;Les jeux sauvages [Texte imprimé] : roman / Paul Colin;Colin , Paul (Paris : Gallimard, 1950);;;;Français;;;
Der Mensch und das Spiel in der verplanten Welt  ;Collectif ;"Der Mensch und das Spiel in der verplanten Welt [Texte imprimé] / herausgegeben von der Bayerischen Akademie der Schönen Künste ; mit Beiträgen von Andreas Flitner... [et al.]";Livre (München : Deutscher Taschenbuch Verlag, cop. 1976);"Jeux éducatifs   Psychologie de l&apos;apprentissage   Jeu  et autres";;;Allemand;3-423-01191-2 ;9783423011914 ;
Marionnettes : jeu de comédien, jeu de marionnettiste : écritures pour marionnettes : marionnettes et thérapie;Collectif ;Marionnettes : jeu de comédien, jeu de marionnettiste : écritures pour marionnettes : marionnettes et thérapie;Livre (Louvain : Centre d'études théâtrales, impr. 1994);Théâtre de marionnettes   Théâtre de marionnettes (genre littéraire)   Théorie littéraire  et autres;Etudes théâtrales;;Français;;;
A la recherche de Viollet-le-Duc  ;Collectif ;"A la recherche de Viollet-le-Duc [Texte imprimé] / [éd.] Geert Bekaert ; écrits de H. Van Brunt, J. Summerson, N. Pevsner, A. Chastel, ... [et al.]";Livre (Bruxelles : P. Mardaga, 1980);Viollet-le-Duc, Eugène Emmanuel   Architecture -- Critique et interprétation -- 1814-1879 ;"Architecture + Recherches ; 12";;Français;2-87009-118-4 ;9782870091180 ;
L'heure du choix  ;Collectif ;L'heure du choix [Texte imprimé] / Claude Aveline, Jean Cassou, André Chamson, Georges Friedmann, Louis Martin-Chauffier, Vercors;Livre ([Paris] : Les Éd. de Minuit, 1947);Christianisme et politique -- Église catholique   Communisme   Souveraineté ;;;Français;;;
Langage et révolution ;Collectif ;Langage et révolution [Texte imprimé];Livre (Paris : Ed. Anthropos, 1982);;;;Français;;;
Regards neufs sur le cinéma  ;Collectif ;Regards neufs sur le cinéma [Texte imprimé] / [Réalisé par Jacques Chevallier, Mas Egly, André Bazin, Joffre Dumazedier... etc.];Livre (Paris : Ed. du Seuil, 1972);;"Peuple et culture ; 8";;Français;;;
Jean Tortel : numéro réalisé ;Collectif ;Jean Tortel : numéro réalisé / par Henri Deluy;Livre (Nîmes : impr. le Castellum, 1984);Tortel, Jean -- 1904-1993 ;;;Français;;;
"Deux enquêtes ""flash"" sur la presse  : naissance d'un enfant royal : mort d'un champion cycliste : la télévision aux Etats-Unis et en Grande-Bretagne";Collectif ;"Deux enquêtes ""flash"" sur la presse [Texte imprimé] : naissance d'un enfant royal : mort d'un champion cycliste : la télévision aux Etats-Unis et en Grande-Bretagne";Livre (Paris : C.E.C.M.A.S., 1960);;;;Français;;;
Figures de la connaissance;Collectif ;Figures de la connaissance;Livre (1998);Sociologie de la connaissance ;;;Français;2-13-049162-6 ;9782130491620 ;
Qu'est-ce que la culture française...  ;Collectif ;"Qu'est-ce que la culture française... [Texte imprimé] / Gilles Anquetil, Jean Borie, Jean-Marie Caillé, Jean-Claude Chevalier... [etc.] ; essais réunis par Jean-Paul Aron";"Livre (Paris : Denoël : Gonthier, 1975 ;  27-Évreux :  impr. Hérissey)";France -- Civilisation   France -- Vie intellectuelle ;"Collectif Médiations ; 2";;Français;;;
La Ruse  ;Collectif ;La Ruse [Texte imprimé] / par G. Balandier, L. Sfez, Y. Delahaye, G. Perec, ... [et. al.];"Livre (Paris : Union générale d'éditions, 1977 ;  impr. en Italie)";Déception   Morale politique   Morale sociale ;"10-18 ; 1143";;Français;2-264-00161-5 ;9782264001610 ;
Contes wolof du Baol  ;Collectif ;"Contes wolof du Baol [Texte imprimé] / recueillis et adaptés par Jean Copans et Philippe Couty ; d'après une traduction de Ben Khatab Dia";"Livre (Paris : Union générale d'éditions, 1976 ;  27-Mesnil :  impr. Firmin-Didot)";Contes wolof   Sénégal ;"10-18 ; 1050 . Série La Voix des autres";;Français;2-264-00040-6 ;9782264000408 ;
La vie d'une famille ouvrière  : autobiographies ;Collectif ;La vie d'une famille ouvrière [Texte imprimé] : autobiographies / Jacques Destray;Livre (Paris : Éditions du Seuil, cop. 1971);Classe ouvrière   France   Récits personnels ;Collection Esprit . La condition humaine;;Français;;;
De la tradition à la post-modernité  : hommage à Jean Poirier ;Collectif ;De la tradition à la post-modernité [Texte imprimé] : hommage à Jean Poirier / textes réunis par André Carénini et Jean-Pierre Jardel;"Livre (Paris : Presses universitaires de France, 1996 ;  41-Vendôme :  Impr. des PUF)";Ethnicité   Culture   Sociologie de la culture  et autres;;;Français;2-13-047465-9 ;9782130474654 ;
Récits et contes populaires de Bretagne . 1 . Dans le pays de Pontivy  = sorbienneu, danevelleu, ha guerzenneu bro-Pondi ;Collectif ;Récits et contes populaires de Bretagne . 1 . Dans le pays de Pontivy [Texte imprimé] = sorbienneu, danevelleu, ha guerzenneu bro-Pondi / réunis par Donatien Laurent;"Livre ([Paris] : Gallimard, 1978 ;  27-Évreux :  impr. Hérissey)";Contes bretons   Traductions françaises ;Récits et contes populaires;;"Français; Breton";;;
Libre  : politique, anthropologie, philosophie . 5;Collectif ;Libre [Texte imprimé] : politique, anthropologie, philosophie . 5;Livre (Paris : Payot, 1979);Rousseau, Jean-Jacques   Liberté de conscience   Capitalisme  et autres;"Petite bibliothèque Payot ; 357";;Français;2-228-33570-3 ;9782228335706 ;
La gangrène ;Collectif ;La gangrène [Texte imprimé];Livre (Paris : les Éd. de Minuit, impr. 1959);Torture   France   1945-1970  et autres;Documents;;Français;;;
Lettres d'institutrices rurales d'autrefois  : rédigées à la suite de l'enquête de Francisque Sarcey en 1897 ;Collectif ;"Lettres d'institutrices rurales d'autrefois [Texte imprimé] : rédigées à la suite de l'enquête de Francisque Sarcey en 1897 / introduites et commentées par Ida Berger ; préface de Marcel Masbou";Livre (Paris : Association des amis du Musée pédagogique, [1961?]);Professeurs des écoles   Écoles primaires   France  et autres;;;Français;;;
Les jeux surréalistes : mars 1921-septembre 1962 ;Collectif ;Les jeux surréalistes : mars 1921-septembre 1962 / présenté et annoté par Emmanuel Garrigues;"Livre ([Paris] : Gallimard, 1995 ; C 1995)";Jeux linguistiques   Littérature française -- 20e siècle   Histoire et critique  et autres;"Archives du surréalisme ; 5";;Français;2-07-073085-9 ;9782070730858 ;
Introduction à la psychologie sociale . 1 .  ;Collectif ;Introduction à la psychologie sociale . 1 . [les phénomènes de base] [Texte imprimé] / sous la direction de Serge Moscovici, ...;"Livre (Paris : Larousse, impr. 1972 ;  92-Montrouge :  impr. Larousse)";Psychologie sociale ;Sciences humaines et sociales;;Français;2-03-070365-6  et autres;9782030703656  et autres;
Les anarchistes et l'autogestion  ;Collectif ;Les anarchistes et l'autogestion [Texte imprimé] / Présentation Yvon Bourdet;Livre (Paris : Ed. Anthropos, 1972);;;;Français;;;
Parier l'Homme  : essai sur la croissance dans l'ère de l'intercivilisation, de l'éthique des limites et du triomphe du marché : 1994 ;Collectif ;"Parier l'Homme [Texte imprimé] : essai sur la croissance dans l'ère de l'intercivilisation, de l'éthique des limites et du triomphe du marché : 1994 / Club de Marseille ; rapporteur: Jean Viard";Livre (La Tour d'Aigues : Ed. de l'Aube, 1994);Économie politique   Morale   Géopolitique  et autres;Monde en cours;;Français;2-87678-190-5 ;9782876781900 ;
L'aventure : la passion des détours ;Collectif ;L'aventure : la passion des détours / dirigé par David Le Breton;Livre (Paris : Éd. Autrement, DL 1996, cop. 1996);Discoveries in geography   Adventures and adventurers   Découvertes géographiques  et autres;"Collection Mutations ; 160";;Français;2-86260-570-0 ;9782862605708 ;
Ivry-poésie  : 6 années d'activités poétiques accompagnées par des peintres;Collectif ;Ivry-poésie [Texte imprimé] : 6 années d'activités poétiques accompagnées par des peintres;"Livre (Paris : Action poétique ; Ivry-sur-Seine : service municipal des affaires culturelles, [1984])";;;;Français;;;
Venezia 1951-1971  : venti anni di attività della Fondazione Giorgio Cini;Collectif ;Venezia 1951-1971 [Texte imprimé] : venti anni di attività della Fondazione Giorgio Cini;Livre (Venezia : Fondazione Giorgio Cini. Centro di cultura e di civiltà, [1971]);Venise (Italie)   20e siècle ;;;Italien;;;
Langues et métiers modernes ou modernisés au Mali : santé et travail du fer ;Collectif ;Langues et métiers modernes ou modernisés au Mali : santé et travail du fer / André Marcel d'Ans, Daniel Baggioni, Louis-Jean Calvet... [et al.];"Livre ([Aix-en-Provence] : Institut d'études créoles et francophones, Université de Provence ; [Paris] : diffusion Didier érudition, 1992)";Français (langue)   Langues -- Aspects économiques   Alphabétisation  et autres;Langues et développement;;Français;2-86460-194-X ;9782864601944 ;
Georges Duby  ;Collectif ;Georges Duby [Texte imprimé] / [textes de Jacques Bonnet, Alain Besançon, Jean-CLaude Schmitt... et al.];Livre (Aix-en-Provence : L'Arc, 1978);Duby, Georges   Historiographie -- Critique et interprétation -- 1919-1996 ;;;Français;;;
Normes et valeurs dans l'Islam contemporain ;Collectif ;"Normes et valeurs dans l'Islam contemporain / par Adonis, Jean Amrouche, Victor Berger-Vachon... [et al.] ; ouvrage édité par Jean-Paul Charnay";Livre (Paris : Payot, 1966);Civilisation islamique   Islam   20e siècle ;Bibliothèque scientifique;;Français;2-228-50150-6 ;9782228501507 ;
Critique de la modernité sportive ;Collectif ;Critique de la modernité sportive / textes rassemblés par Frédéric Baillette et Jean-Marie Brohm;"Livre (Paris : les Éd. de la Passion, 1995, cop. 1995 ;  61-Lonrai :  Normandie roto impr.)";Sports   Compétitions   Aspect social  et autres;Quel corps ?;;Français;2-906229-24-5 ;9782906229242 ;
Perspectives tunisiennes 62;Collectif ;Perspectives tunisiennes 62/71 [Texte imprimé];Livre (Tunis : Secrétariat d'état aux affaires culturelles et à l'information, 1962);Tunisie -- Politique économique -- 1956-1987 ;;;Français;;;
Le Veda . 1 . premier livre sacré de l'Inde  ;Collectif ;"Le Veda . 1 . premier livre sacré de l'Inde [Texte imprimé] / [avant-propos par Louis Renou, ... ; préface par Sir Sarvepalli Radhakrishnan, ... ; textes réunis et présentés par Jean Varenne, ...]";Livre (Verviers : Gérard & Co., 1967);Veda   Védisme   Inde  et autres;"Le trésor spirituel de l'humanité .- Marabout université ; 145";;Français;;;
Saint-Benoît sur-Loire  ;Collectif ;Saint-Benoît sur-Loire [et] Germigny-des-Prés [Texte imprimé] / par les moines bénédictins;Livre (Paris : Editions Alpina, impr. 1961);Saint-Benoît-sur-Loire (Loiret) -- Basilique Saint-Benoît de Fleury ;La France illustrée;;Français;;;
Planeta deporte ;Collectif ;Planeta deporte [Texte imprimé] : [exposiciión Planeta esport del 13 de mayo al 23 julio de 1989, Barcelona];Livre ([Barcelona] : Olimpíada cultural, D.L 1989);"Catalogues d&apos;exposition   Jeux olympiques   Histoire ";;;Espagnol;84-404-4293-9 ;9788440442932 ;
Incidences de la psychanalyse ;Collectif ;Incidences de la psychanalyse [Texte imprimé];Livre (Paris : Gallimard, 1970);Psychanalyse   Recherche ;;;Français;2-07-027257-5 ;9782070272570 ;
Les ramonneurs : comédie anonyme en prose ;Collectif ;Les ramonneurs : comédie anonyme en prose / éditée par Austin Gill;Livre (Paris : Librairie Marcel Didier, 1957);Théâtre (genre littéraire) français -- 17e siècle ;"Société des textes français modernes ; [122]";;Français;;;
Völkerkunde  ;Collectif ;Völkerkunde [Texte imprimé] / herausgegeben von Dr. Herbert Tischner;Livre (Frankfurt am Main : Fischer Bücherei, cop. 1959);;"Das Fischer Lexikon : Enzyklopädie des Wissens ; 13";;Allemand;;;
Middle Eastern Muslim women speak  ;Collectif ;Middle Eastern Muslim women speak [Texte imprimé] / edited by Elizabeth Warnock Fernea and Basima Qattan Bezirgan;Livre (Austin : University of Texas Press, c1977);Musulmanes -- Moyen-Orient -- Conditions sociales   Musulmanes   Féminisme  et autres;The Dan Danciger publication series;;Anglais;0-292-75033-1  et autres;9780292750333  et autres;
Textes sacrés d'Afrique noire  ;Collectif ;"Textes sacrés d'Afrique noire [Texte imprimé] / choisis et présentés par Germaine Dieterlen ; avec la collaboration de Béatrice Appia, D. Biebuyck, R. P. Borgonjon, ... [et al.] ; préface de Amadou Hampâté Bâ";"Livre (Paris : Gallimard, impr. 1965 ;  Mayenne :  Impr. Floch)";Littérature religieuse africaine   Anthologies   Afrique noire. Textes sacrés. 1965 ;Collection UNESCO d'oeuvres représentatives . série africaine;;Français;;;
L'analyse empirique de la causalité : choix de textes ;Collectif ;L'analyse empirique de la causalité : choix de textes / publiés sous la direction de Raymond Boudon et Paul Lazarsfeld;"Livre (Paris ; La Haye : Mouton & Co, 1966)";Causalité   Sociologie -- Méthodologie ;"Méthodes de la sociologie ; 2";;Français;;;
Le voyage en Orient  : anthologie des voyageurs français dans le Levant au XIXe siècle ;Collectif ;Le voyage en Orient [Texte imprimé] : anthologie des voyageurs français dans le Levant au XIXe siècle / introduction, chronologie, notices biographiques et index de J.-C. Berchet;Livre (Paris : R. Laffont, cop. 1985);Littérature française -- 19e siècle   Thèmes, motifs   Voyageurs français  et autres;Bouquins;;Français;2-221-04660-9  et autres;9782221046609  et autres;
Les Prophètes  ;Collectif ;Les Prophètes [Texte imprimé] / traduit de l'hébreu [par]Jean Grosjean;"Livre (Paris : Gallimard ; (Montrouge, Impr. moderne), 1955)";;;;Français;;;
Bisexualité et différence des sexes ;Collectif ;Bisexualité et différence des sexes [Texte imprimé];Livre (Paris : Gallimard, 1973);Bisexualité   Différences entre sexes (psychologie) ;;;Français;2-07-028460-3 ;9782070284603 ;
Deutschland von heute ;Collectif ;Deutschland von heute [Texte imprimé];Livre (Berlin : Terramare Office, 1935);Deutschland   Allemagne   Descriptions et voyages ;;;Allemand;;;
La Geste hilalienne  : version de Bou Thadi (Tunisie) ;Collectif ;"La Geste hilalienne [Texte imprimé] : version de Bou Thadi (Tunisie) / recueillie, établie et traduite de l'arabe par Lucienne Saada ; récitation de Mohammed Hsini ; préface de Jean Grosjean";Livre ([Paris] : Gallimard, impr. 1985);;;;Français;2-07-070157-3 ;9782070701575 ;
Les Imaginaires  ;Collectif ;Les Imaginaires [Texte imprimé] / par A. Suassuna, K. Bakomba, M. Sijelmassi;Livre (Paris : Union générale d'éditions, 1976-1979);Imaginaire (philosophie) ;"10/18 ; 1063 ; 1296 ; Série Cause commune";;Français;2-264-00052-X  et autres;9782264000521  et autres;
Le temps d'une lettre  : journal du 1er octobre 1990 au 1er mars 1992 ;Collectif ;Le temps d'une lettre [Texte imprimé] : journal du 1er octobre 1990 au 1er mars 1992 / Jacques Bofford;Livre (Paris : Editions de Magrie, D.L 1992);;Les nuées volantes . Hors collection;;Français;2-909434-10-9 ;9782909434100 ;
Psychopathologie structurale  : études et recherches ... ;Collectif ;Psychopathologie structurale [Texte imprimé] : études et recherches ... / ss la dir. de Zena Helman;"Livre (Lille : Universitaires ; [puis] Villeneuve d'Ascq : Université de Lille III, 1973-)";;Encyclopédie universitaire;;Français;;;
Actes du colloque sur le théâtre négro-africain  : Abidjan, Ecole des Lettres et Sciences humaines, 15-29 avril 1970 ;Collectif ;"Actes du colloque sur le théâtre négro-africain [Texte imprimé] : Abidjan, Ecole des Lettres et Sciences humaines, 15-29 avril 1970 / [organisé par l'École des lettres et sciences humaines de l'Université d'Abidjan ; préf. par Barthélémy Kotchy]";Livre (Paris : Présence africaine, DL 1971);Théâtre africain de langue française   Histoire et critique   Congrès ;;;Français;;;
La différence culturelle en question  ;Collectif ;La différence culturelle en question [Texte imprimé] / [Michel Wieviorka... et al.];Livre (Paris : Presses universitaires de France, 1999);Identité collective   Sociologie de la culture   Multiculturalisme  et autres;"Cahiers internationaux de sociologie ; 105";;Français;2-13-049163-4 ;9782130491637 ;
Nouvelles évaluations, nouveaux programmes en science sociale ;Collectif ;Nouvelles évaluations, nouveaux programmes en science sociale / Lucien Sfez... et al.];Livre (Paris : Presses universitaires de France, 1999);Sociologie -- Recherche   Sciences sociales   Évaluation ;;;Français;2-13-050268-7 ;9782130502685 ;
